,round,avg_test_acc,avg_test_loss,avg_train_loss
0,0,0.9246,243.33690762519836,1.7788863083197608
1,1,0.9459,238.60652887821198,1.5412525037453637
2,2,0.9616,236.49458146095276,1.5183900186518358
3,3,0.9673,235.19226348400116,1.505097465068808
4,4,0.9705,234.47182273864746,1.4972202584359318
5,5,0.9762,233.50806987285614,1.4917454283101863
6,6,0.977,233.44265711307526,1.4881043112108492
7,7,0.9806,232.9626007080078,1.4852550154048685
8,8,0.9813,232.63211858272552,1.4827824373380833
9,9,0.983,232.51879000663757,1.4809391977380237
10,10,0.9815,232.4615877866745,1.4794320547467725
11,11,0.985,231.99598956108093,1.4780002593711654
12,12,0.9856,231.99121820926666,1.4767322838306427
13,13,0.9854,231.91864550113678,1.4760772810445577
14,14,0.9849,232.00722706317902,1.474938692357303
